수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-06-23 오후 9:27:33,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:27:33.462
ProcessGuid: {c00189fc-4571-6859-955a-000000006900}
ProcessId: 395260
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:27:19,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:27:19.198
ProcessGuid: {c00189fc-47d1-6859-bb5a-000000006900}
ProcessId: 400560
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:27:14,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:27:14.706
ProcessGuid: {c00189fc-464e-6859-a85a-000000006900}
ProcessId: 398092
Image: C:\Windows\System32\smartscreen.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:26:54,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:26:54.368
ProcessGuid: {c00189fc-47ce-6859-ba5a-000000006900}
ProcessId: 401388
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:25:49,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:25:49.263
ProcessGuid: {c00189fc-4548-6859-925a-000000006900}
ProcessId: 381236
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:24:57,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:24:57.556
ProcessGuid: {c00189fc-42e9-6859-4a5a-000000006900}
ProcessId: 383508
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\LOCAL SERVICE"
정보,2025-06-23 오후 9:24:26,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:24:26.447
ProcessGuid: {c00189fc-46fc-6859-b15a-000000006900}
ProcessId: 396332
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:24:20,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:24:20.657
ProcessGuid: {c00189fc-4769-6859-b95a-000000006900}
ProcessId: 401832
Image: C:\Program Files (x86)\Microsoft\Edge\Application\137.0.3296.93\identity_helper.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:24:09,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:24:09.535
ProcessGuid: {c00189fc-4769-6859-b85a-000000006900}
ProcessId: 401816
Image: C:\Program Files (x86)\Microsoft\Edge\Application\137.0.3296.93\identity_helper.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:23:35,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:23:35.194
ProcessGuid: {c00189fc-473f-6859-b65a-000000006900}
ProcessId: 395460
Image: C:\Program Files\Microsoft OneDrive\25.095.0518.0002\FileCoAuth.exe
User: DESKTOP-GHQF7EL\wah43"
